artefact_id,display_index,primary_code,severity,reversibility,confidence_annotation,rationale_fidelity,secondary_codes,flag_for_adjudication,note,rater,rated_at
7e5ed8a6-4819-4254-b637-44ec5e4eb45c,1,,,,,,,,,r2,
bc9d9ece-0e70-4fc9-90d1-4201deb9a199,2,,,,,,,,,r2,
3dd655a8-4c38-4633-8809-eb93871efc5f,3,,,,,,,,,r2,
95b0a396-2e06-4d4b-a086-efaa2d5a28bb,4,,,,,,,,,r2,
6b837543-a81a-4735-8d30-f4da009860a4,5,,,,,,,,,r2,
284e4e20-d666-483f-a18a-a1c0f936ceaf,6,,,,,,,,,r2,
d700bc37-98e3-4a3f-a561-eccce2c4a1ff,7,,,,,,,,,r2,
70c4c4be-4c65-4956-b049-cf24eeef409f,8,,,,,,,,,r2,
77c10171-4ce7-4ac0-a4ba-d987fa1e1857,9,,,,,,,,,r2,
4e224fb9-6d99-4890-9f75-acc9e8972f0c,10,,,,,,,,,r2,
2e57eb7d-c1a8-4eff-8c88-9bbf92d007c0,11,,,,,,,,,r2,
17cb3bc5-2391-40b7-a07e-9136ea21eed2,12,,,,,,,,,r2,
11ce3b02-a10d-401a-b97a-efbf0cc0c24c,13,,,,,,,,,r2,
83b1f1e6-2651-47e3-8598-c292cb49cbb9,14,,,,,,,,,r2,
09c5a726-1b70-460c-a388-a18ef10c2264,15,,,,,,,,,r2,
04583cbe-0c38-4cd3-9b92-0bcd2b26b0b3,16,,,,,,,,,r2,
fa86e834-ad11-4557-a237-4048cca944f9,17,,,,,,,,,r2,
b1f1357a-0165-409a-8c72-f6566c71a438,18,,,,,,,,,r2,
54c63b18-cfa7-489c-9aa0-60f61ab10fd5,19,,,,,,,,,r2,
f79aacc4-b6ec-46bd-a5b2-2ed05ce35309,20,,,,,,,,,r2,
95e19231-cd81-4bf9-958b-27e35ec18629,21,,,,,,,,,r2,
fff50f89-acea-44da-b661-7a6cac01dc6c,22,,,,,,,,,r2,
f5e951c6-0e45-4fc3-92c4-889c2dbf9e58,23,,,,,,,,,r2,
bc31bf2d-1e2c-4162-a3a9-dce2e2068e72,24,,,,,,,,,r2,
055ea5c0-bb45-4c72-b314-6150f1146163,25,,,,,,,,,r2,
d53804cd-fe53-474e-a58f-014e83e02b27,26,,,,,,,,,r2,
b7eb7ffd-d137-45a6-8ac1-b9c737caa1ba,27,,,,,,,,,r2,
61dfd7d8-46b7-4ec2-8535-3dc278ab3878,28,,,,,,,,,r2,
541a226c-7b57-4fef-bbc0-6054be9ea7b3,29,,,,,,,,,r2,
f7b38d73-14a5-48a5-af7d-cd8a59da2ab8,30,,,,,,,,,r2,
ac300ca6-a6eb-479b-a99c-9b79e9a8e0c8,31,,,,,,,,,r2,
881dadeb-8835-41bb-8683-d4d442c32200,32,,,,,,,,,r2,
67504e44-0705-4961-8d9b-6ffed526dde1,33,,,,,,,,,r2,
cb39d7c2-5bd9-4337-8fcb-23125a2159e8,34,,,,,,,,,r2,
ac520310-8fac-410d-8873-e632cc9c5e27,35,,,,,,,,,r2,
ed09ee43-2450-4408-b0f5-b79b3106797e,36,,,,,,,,,r2,
8e1befcc-82d3-41ac-ae50-f2836d94c5c8,37,,,,,,,,,r2,
91c74110-6852-4d4b-b158-d287aae9f9d7,38,,,,,,,,,r2,
0aef7ce5-a0cc-410f-b16f-091cf3faf863,39,,,,,,,,,r2,
24367550-ee55-4249-9456-08854fa867ea,40,,,,,,,,,r2,
