artefact_id,display_index,primary_code,severity,reversibility,confidence_annotation,rationale_fidelity,secondary_codes,flag_for_adjudication,note,rater,rated_at
e4c2d226-8d67-4685-b3a7-8ab0da11a5fc,1,,,,,,,,,r1,
7d220339-a1ff-4d09-bab9-c5f9b74eb0eb,2,,,,,,,,,r1,
509dfc17-ae1c-431c-87ba-b3f0765642f1,3,,,,,,,,,r1,
51af31df-ebfd-44c3-9517-61391c5fbc9e,4,,,,,,,,,r1,
3eb3ef6d-8fae-4d82-8c0f-0785b3d46060,5,,,,,,,,,r1,
af8b02b4-39a5-45a7-b37e-147bf51e15d1,6,,,,,,,,,r1,
d53804cd-fe53-474e-a58f-014e83e02b27,7,,,,,,,,,r1,
881dadeb-8835-41bb-8683-d4d442c32200,8,,,,,,,,,r1,
ce3a3a24-f88f-4611-ac55-b6abf4929c1d,9,,,,,,,,,r1,
b1f1357a-0165-409a-8c72-f6566c71a438,10,,,,,,,,,r1,
fa86e834-ad11-4557-a237-4048cca944f9,11,,,,,,,,,r1,
dc9c2e7d-e6cb-4845-a96f-55f4b554e988,12,,,,,,,,,r1,
117a528e-b123-4772-ad56-1d44cc67bf47,13,,,,,,,,,r1,
11ce3b02-a10d-401a-b97a-efbf0cc0c24c,14,,,,,,,,,r1,
cb39d7c2-5bd9-4337-8fcb-23125a2159e8,15,,,,,,,,,r1,
f6e6107b-e7b9-48da-95ed-9c4f2e62c579,16,,,,,,,,,r1,
5be849e1-ce2a-47b9-a4cb-4874e972beae,17,,,,,,,,,r1,
a973b4a1-5469-4207-9563-fd4ea6a5c839,18,,,,,,,,,r1,
c7fe4c3d-2794-4f16-8d97-38fcf803c979,19,,,,,,,,,r1,
350ea98a-3b76-40c4-a670-047587686092,20,,,,,,,,,r1,
61c4459c-2c7a-402b-b9d4-fcd96c27850b,21,,,,,,,,,r1,
3dd655a8-4c38-4633-8809-eb93871efc5f,22,,,,,,,,,r1,
fff50f89-acea-44da-b661-7a6cac01dc6c,23,,,,,,,,,r1,
ef2c5987-3757-47dc-a32d-458fe0aa631a,24,,,,,,,,,r1,
3d5a0e97-6594-46c1-b074-bd2509b29bbd,25,,,,,,,,,r1,
e18ac587-5a05-439b-aca1-896721049b7b,26,,,,,,,,,r1,
0b0affab-1ac5-44be-a124-b211ead9615a,27,,,,,,,,,r1,
7f014e92-f30b-45e2-baa5-2d945b568e6b,28,,,,,,,,,r1,
cc072a4e-bc60-41f5-9e1b-0d55df9cb983,29,,,,,,,,,r1,
04583cbe-0c38-4cd3-9b92-0bcd2b26b0b3,30,,,,,,,,,r1,
e69b0c88-5499-498c-8b55-029fb5d58588,31,,,,,,,,,r1,
be638681-aedb-4bc9-8976-7d2db79b469d,32,,,,,,,,,r1,
0d96d4c1-142b-4941-99b4-19883194b05f,33,,,,,,,,,r1,
c8923697-6fc8-4117-a51d-7f38df2e1793,34,,,,,,,,,r1,
75a1a3ff-bde3-46d9-8d7a-f49eef4f5ea4,35,,,,,,,,,r1,
2e57eb7d-c1a8-4eff-8c88-9bbf92d007c0,36,,,,,,,,,r1,
f5e951c6-0e45-4fc3-92c4-889c2dbf9e58,37,,,,,,,,,r1,
7433e7d9-62a2-4500-86c2-0b8754f5c35f,38,,,,,,,,,r1,
b7eb7ffd-d137-45a6-8ac1-b9c737caa1ba,39,,,,,,,,,r1,
77c10171-4ce7-4ac0-a4ba-d987fa1e1857,40,,,,,,,,,r1,
208a0202-7f5e-4b00-83cd-946e41d0c886,41,,,,,,,,,r1,
f7b38d73-14a5-48a5-af7d-cd8a59da2ab8,42,,,,,,,,,r1,
0bc44ce1-43ce-44e9-83fc-9cb647ea1d3f,43,,,,,,,,,r1,
54c63b18-cfa7-489c-9aa0-60f61ab10fd5,44,,,,,,,,,r1,
ed09ee43-2450-4408-b0f5-b79b3106797e,45,,,,,,,,,r1,
541a226c-7b57-4fef-bbc0-6054be9ea7b3,46,,,,,,,,,r1,
88f57f4d-6723-4e0b-9601-cb106d3ae6a2,47,,,,,,,,,r1,
20084caf-f4ee-447f-ad9f-2cef266f9a03,48,,,,,,,,,r1,
fa5f9560-f43e-4800-87fd-02ad070f993a,49,,,,,,,,,r1,
0a588432-0edd-4d5c-be78-26d1fe82706d,50,,,,,,,,,r1,
17cb3bc5-2391-40b7-a07e-9136ea21eed2,51,,,,,,,,,r1,
d700bc37-98e3-4a3f-a561-eccce2c4a1ff,52,,,,,,,,,r1,
f79aacc4-b6ec-46bd-a5b2-2ed05ce35309,53,,,,,,,,,r1,
1141aabd-e5bd-47d1-821b-49f5933198e4,54,,,,,,,,,r1,
578e915f-cb26-49f0-a2ac-765f47db4ce7,55,,,,,,,,,r1,
9db6746f-476e-4973-9ff1-0bcd66afa8b4,56,,,,,,,,,r1,
b8233690-38b2-41d1-b59e-d7846010c8f6,57,,,,,,,,,r1,
a6c09412-4c51-4f2e-a522-5fc55e75817a,58,,,,,,,,,r1,
1c366c6c-f7ef-4f63-83aa-bc308fb26929,59,,,,,,,,,r1,
3c827f8c-741d-4abb-a916-b228d0205cc1,60,,,,,,,,,r1,
6b837543-a81a-4735-8d30-f4da009860a4,61,,,,,,,,,r1,
0c1ec143-947c-487d-91c1-0ea70b83c6e3,62,,,,,,,,,r1,
ca08b1ac-2813-45cc-9f71-c65be59652ab,63,,,,,,,,,r1,
11942f5e-c3e7-427d-b329-aafa9cf19ac7,64,,,,,,,,,r1,
a1264377-6976-423e-8b21-5dee4e74ff8d,65,,,,,,,,,r1,
7987c02e-9d45-4936-b152-c935c417b1fe,66,,,,,,,,,r1,
6ecb091d-6660-480a-b237-d03cb28dff62,67,,,,,,,,,r1,
bc31bf2d-1e2c-4162-a3a9-dce2e2068e72,68,,,,,,,,,r1,
84adfa83-cba5-477a-a099-e2f4e98c366e,69,,,,,,,,,r1,
284e4e20-d666-483f-a18a-a1c0f936ceaf,70,,,,,,,,,r1,
a322582d-792d-46ee-83e7-ce1f90623277,71,,,,,,,,,r1,
44ab5c70-7747-4060-a43e-f90dfee490b9,72,,,,,,,,,r1,
17509a3a-2e51-4dc6-9341-16b7b6b25a22,73,,,,,,,,,r1,
95b0a396-2e06-4d4b-a086-efaa2d5a28bb,74,,,,,,,,,r1,
536186ae-ff86-4351-8d2a-908a837316b2,75,,,,,,,,,r1,
09c5a726-1b70-460c-a388-a18ef10c2264,76,,,,,,,,,r1,
1ee6e0d6-f8d2-41c8-a50d-6cd37265443a,77,,,,,,,,,r1,
56d180ef-4538-46ef-9b40-d09b04ca4995,78,,,,,,,,,r1,
aa56d00f-34e5-49c8-94af-eb5be6e2d6ee,79,,,,,,,,,r1,
6841e46f-e1e6-4704-9b2b-abec08a070f4,80,,,,,,,,,r1,
0aa89317-467f-4876-b4f6-8c37806b5ba1,81,,,,,,,,,r1,
214a9698-33ff-43c3-9152-594e0ed290a0,82,,,,,,,,,r1,
0aef7ce5-a0cc-410f-b16f-091cf3faf863,83,,,,,,,,,r1,
d758ab0e-21b3-4528-8ccf-fbf11be619e8,84,,,,,,,,,r1,
